DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE25,2022,55837.16,p,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE31,2013,15122.87,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE31,2014,15879.51,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE31,2015,16292.47,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE31,2016,17328.49,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE31,2017,18175.87,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE31,2018,20195.88,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE31,2019,22737.29,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE31,2020,21699.05,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE31,2021,21517.11,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE31,2022,24912.46,p,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE32,2013,29980.1,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE32,2014,30735.48,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE32,2015,31357.85,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE32,2016,32052.95,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE32,2017,33009.56,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE32,2018,34206.21,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE32,2019,34843.36,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE32,2020,33457.66,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE32,2021,36812.74,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE32,2022,39626.37,p,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE33,2013,28102.84,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE33,2014,28358.8,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE33,2015,28973.52,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE33,2016,29696.65,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE33,2017,30799.97,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE33,2018,31722.93,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE33,2019,32794.78,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE33,2020,31258.08,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE33,2021,34849.84,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE33,2022,37918.81,p,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE34,2013,6249.7,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE34,2014,6303.52,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE34,2015,6470.84,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE34,2016,6606.17,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE34,2017,6864.28,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE34,2018,7056.42,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE34,2019,7323.64,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE34,2020,7096.45,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE34,2021,7872.56,,
ESTAT:NAMA_10R_2GDP(1.0),20/02/24 11:00:00,A,MIO_EUR,BE34,2022,8428.78,p,
